round,order,A_seconds,B_seconds,speedup,diff_count,agreement,positive_jaccard,A_completion_tokens,B_completion_tokens
1,A->B,46.21158940001624,4.640285199973732,9.958782145605584,6,0.9154929577464789,0.25,649,71
2,B->A,47.42063509998843,3.9792368999915197,11.917017330656913,6,0.9154929577464789,0.25,649,71
3,A->B,46.49215509998612,4.284963799989782,10.850069515195667,6,0.9154929577464789,0.25,649,71
4,B->A,47.27241590002086,4.613492500036955,10.246557439866262,6,0.9154929577464789,0.25,649,71
5,A->B,45.2415142999962,4.735906999965664,9.552872195405063,6,0.9154929577464789,0.25,649,71
6,B->A,47.02683539997088,4.1215473000193015,11.409995318930502,6,0.9154929577464789,0.25,649,71
7,A->B,46.68549439997878,3.9951479000155814,11.685548462372745,6,0.9154929577464789,0.25,649,71
8,B->A,45.766820700024255,4.511219400039408,10.145110809645935,6,0.9154929577464789,0.25,649,71
9,A->B,45.273058800026774,4.580409899994265,9.884062734228973,6,0.9154929577464789,0.25,649,71
10,B->A,46.80056790000526,4.043041900033131,11.575583201257881,6,0.9154929577464789,0.25,649,71
