category,A,B4,B71,p_true_B4_mean,p_true_B71_mean
Agent-Plan,False,False,False,0.025957359222852867,0.00591106763038807
Agent-Plan-Review,False,False,False,0.05922882725097284,0.06282526094272511
Agent-Execute,True,False,False,0.1629777806478959,0.28706349945267784
Agent-Verification,True,True,True,0.7310585669110203,0.8670357512127872
CI-CD-and-Monitoring,False,False,False,0.00033535003146525444,0.0011078372652042984
Cloud-and-Hosting,False,False,False,0.0024726234828252374,0.014063625416135603
Coding,True,True,True,0.985936375345765,0.7052521526989278
Communication,False,False,False,0.00116951016075143,0.0015464941195618097
CRM-Platforms,False,False,False,7.031183410375662e-05,0.00048785712116442535
Crypto-and-Market-Data,False,False,False,0.014063627495220473,3.763644266591408e-05
Customer-Support,False,False,False,4.0063711299365185e-05,0.00019110438050824044
Data-APIs-and-Enrichment,False,False,False,0.006692851521763209,0.006692849967700451
Dev-Platforms-and-VCS,False,False,False,0.020332354196003235,0.01590639515230442
Document-Generation,True,False,False,0.16451646699291617,0.2942149597859341
E-commerce-and-Logistics,False,False,False,8.398075037975379e-06,0.008577484114850882
Email-Marketing,False,False,False,0.0013250225125692,8.481101067591067e-05
Email-Verification,False,False,False,1.4738981972082061e-05,0.0010987309216466382
Events-and-Scheduling,False,False,False,0.0031726825722432333,0.0002034269495804164
Feedback-and-Survey,False,False,False,7.484620052988594e-05,0.00013982205761038866
Forms-and-E-Signatures,False,False,False,0.0008040859622860424,0.005911068213216766
GitHub,False,False,False,0.0008040857705908841,0.005911068973904068
Google-Services,False,False,False,0.00015843621687110674,0.00023254216147441904
Health-and-Lifestyle,False,False,False,0.00015843629259415062,0.0006263342561914028
HR-and-Education,False,False,False,1.6701415872659113e-05,0.0008040860582973208
Knowledge-and-Productivity,False,False,False,0.0008040860582973208,0.0005527787490269751
Image-and-Design,False,False,False,0.0015011820654869021,0.0009110511403591642
Image-Generation,False,False,False,0.0002034269010984032,0.0019267342798394598
Image-Recognition,False,False,False,0.0017007225725228332,8.481102119440441e-05
LLM-and-Chatbot,True,False,True,0.3486451217982255,0.6513548714339145
Marketing-and-Growth,False,False,False,0.0007096703845704019,0.0015011825183099178
MCP-Util,False,False,False,0.04208773257151255,0.00020342692526097766
Microsoft-Services,False,False,False,0.0004305571436513335,0.00012339457503825747
Payments-and-Billing,False,False,False,9.028040051619735e-05,0.00010889694831883528
PPT-Design,False,False,False,0.00013982209088087596,0.001325022196615695
Project-Management,False,False,False,0.00857748528699382,0.009708475756204796
Sales-Intelligence,False,False,False,0.0028009269098932515,0.00015843616044940593
Search-and-Network-APIs,False,False,False,0.0013250223408050959,0.014063628567046951
Security-and-Compliance,False,False,False,0.0028009265593734807,7.48462094167307e-05
SEO-and-Web-Analytics,False,False,False,0.0009110512487600208,9.610243796170806e-05
Skill-Util,False,False,False,0.0013250226700068106,0.002800926562625055
Social-Media,False,False,False,0.002800927599877566,0.0011695105276516287
Speech-Recognition,False,False,False,0.0013250224880754832,0.0013250225084098894
System-and-CLI,False,False,False,0.022977371791713528,0.11920293140927592
Time-Tracking,False,False,False,0.001325022196615695,8.48110515269414e-05
TTS-and-Voice-AI,False,False,False,0.000552778608849522,0.00043055718092712444
Video-and-Print,False,False,False,7.484625405571629e-05,0.00026119027880236077
Video-Editing,False,False,False,0.007577241733585884,3.321421076498683e-05
Video-Generation,False,False,False,1.6701417863832937e-05,0.0003799844419228317
Web-Design,False,False,False,0.00043055703956471655,0.001926734288794229
Web-Scraping-and-Browser,False,False,False,0.0035936019253029468,0.005911070218914074
Writing-and-Content,False,False,False,0.010986943055631719,0.034890909352425024
ComfyUI,False,False,False,0.0009110511352199254,0.0028009267479648173
Entrepreneurship,False,False,False,0.00460957174564344,0.00062633403492401
AI-Research,False,False,False,0.06754669630158146,0.0024726234650225875
Science,False,False,False,0.0293122283664515,0.017986209534399958
Metaphysics-and-Spirituality,False,False,False,0.0010987313103187155,0.0010322312218618633
2D-Rigging-and-Animation,False,False,False,5.1442232069194766e-05,0.0035936019494800693
Reverse-Engineering,False,False,False,0.00029595706473212614,0.0009110513334250193
Diagramming-and-Visualization,False,False,False,0.0011695100157864463,0.11920292984474948
Writing-Craft,False,False,False,0.00017952805194367474,0.03732688948593843
Creative-Video-Generation,False,False,False,0.004609572190057233,0.0009110512495547487
Reverse-Analysis,False,False,False,0.0019267347125787148,0.0013250226633827228
Video-Understanding,False,False,False,3.120190393896595e-05,0.0015011821647764071
AI-Training,False,False,False,0.002800926596441432,0.005220126830075538
AI-Inference-and-Optimization,True,False,False,0.4073334000459302,0.07585817897661679
AI-Models-and-Architecture,False,False,False,0.029312233613242346,0.03308598017635717
AI-Evaluation-and-Benchmarking,True,False,True,0.11920291107043361,0.6513548646660542
AI-MLOps,False,False,False,0.014063630194157184,0.045464775795743144
AI-Robotics,False,False,False,0.002472622785076324,0.00043055698980105147
Audio-and-Music-Generation,False,False,False,1.7778551859637474e-05,0.0010322310985772072
Agent-Delivery,True,False,True,0.3486451488696663,0.5312093733737563
